mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.825789213180542,0.09650586031759875,0.011991786956787109,0.000915051530337494,3,0.9,1.0,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.1}",0.8623751387347391,0.8701442841287459,0.8779134295227525,0.8612652608213096,0.8722222222222222,0.868784067085954,0.0062389609696365065,247
0.6551001071929932,0.10977052761952505,0.013033437728881835,0.0007749460525103169,3,1.0,0.7,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.8801331853496115,0.8845726970033296,0.8901220865704772,0.8745837957824639,0.8877777777777778,0.8834379084967321,0.005551881733050239,99
0.6364964485168457,0.04307608035536199,0.014122867584228515,0.001546105875519942,3,1.0,0.7,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.8745837957824639,0.8834628190899001,0.8890122086570478,0.8679245283018868,0.8755555555555555,0.8781077814773708,0.007351379972744982,171
0.6990099906921386,0.07543411604593568,0.01416153907775879,0.0024821605884346952,3,1.0,0.7,0.07,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.07}",0.8623751387347391,0.8690344062153164,0.8879023307436182,0.8612652608213096,0.8755555555555555,0.8712265384141078,0.009789813178703633,193
0.6441027164459229,0.07439440695196789,0.015523147583007813,0.003840918503657057,3,1.0,0.7,0.1,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.7, 'min_samples_split': 0.1}",0.8623751387347391,0.8701442841287459,0.8779134295227525,0.8612652608213096,0.8722222222222222,0.868784067085954,0.0062389609696365065,247
0.7390419006347656,0.06764802411179585,0.015475797653198241,0.003404474550614747,3,1.0,0.8,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.881243063263041,0.8834628190899001,0.8912319644839067,0.8723640399556049,0.8788888888888889,0.8814381551362682,0.006146451841737633,107
0.9196516036987304,0.1680424099822386,0.02451491355895996,0.004703057729635282,3,1.0,0.8,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.8801331853496115,0.8845726970033296,0.8901220865704772,0.8723640399556049,0.8777777777777778,0.8809939573313603,0.0060281064072154516,112
1.0808573722839356,0.03598579956655608,0.02344622611999512,0.007139405508408654,3,1.0,0.8,0.07,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.07}",0.876803551609323,0.8834628190899001,0.8901220865704772,0.8679245283018868,0.8733333333333333,0.878329263780984,0.007758475346517411,168
0.8045995235443115,0.13294238628269345,0.01457352638244629,0.00401999426197672,3,1.0,0.8,0.1,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.8, 'min_samples_split': 0.1}",0.8623751387347391,0.8701442841287459,0.8756936736958935,0.8612652608213096,0.8722222222222222,0.8683401159205821,0.00562201230377085,252
0.6975939750671387,0.04835092195921686,0.014183616638183594,0.0031789559804261736,3,1.0,0.9,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.8823529411764706,0.8867924528301887,0.8923418423973363,0.8701442841287459,0.8866666666666667,0.8836596374398816,0.007464712589421976,98
0.6798494338989258,0.02847559031900434,0.013090848922729492,0.002167838060234259,3,1.0,0.9,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.8801331853496115,0.8856825749167592,0.8890122086570478,0.8690344062153164,0.8766666666666667,0.8801058083610803,0.006997552172231792,127
0.6984344959259033,0.0430839183129487,0.018808937072753905,0.004846992470290206,3,1.0,0.9,0.07,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.07}",0.876803551609323,0.8823529411764706,0.8901220865704772,0.8668146503884573,0.8755555555555555,0.8783297570600567,0.0077183965231210835,166
0.6275807380676269,0.05429106863579228,0.012094736099243164,0.0022587595645584884,3,1.0,0.9,0.1,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 0.9, 'min_samples_split': 0.1}",0.8623751387347391,0.8701442841287459,0.876803551609323,0.8612652608213096,0.8722222222222222,0.8685620915032679,0.005921886145896783,250
0.6769883632659912,0.07068005039555983,0.012636327743530273,0.0018862503724438441,3,1.0,1.0,0.01,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.881243063263041,0.8867924528301887,0.8923418423973363,0.8723640399556049,0.8833333333333333,0.8832149463559009,0.006599140732565986,100
0.7432148456573486,0.04867129093007573,0.013811063766479493,0.002834229879401176,3,1.0,1.0,0.03,"{'max_depth': 3, 'max_features': 1.0, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.8745837957824639,0.8834628190899001,0.8901220865704772,0.8690344062153164,0.8766666666666667,0.8787739548649649,0.007316043268212042,154
